Species,Population,Year,Altitude
S,10,2025,225
S,34,2025,275
S,101,2025,325
S,515,2025,375
S,847,2025,425
S,1801,2025,475
S,2728,2025,525
S,2211,2025,575
S,101,2025,625
S,67,2025,675
S,27,2025,725
S,109,2025,775
S,38,2025,825
S,38,2025,875
S,51,2025,925
S,27,2025,975
S,7,2025,1025
S,40,2025,1075
S,21,2025,1125
S,315,2025,1175
S,326,2025,1225
S,0,2025,1275
S,2,2025,1325
S,0,2025,1375
S,1,2025,1425
S,22,2025,1475
S,0,2025,1525
S,0,2025,1575
S,0,2025,1625
S,0,2025,1675
S,0,2025,1725
S,0,2025,1775
S,0,2025,1825
S,0,2025,1875
S,0,2025,1925
S,1,2025,1975
S,8,2026,225
S,32,2026,275
S,115,2026,325
S,461,2026,375
S,753,2026,425
S,1687,2026,475
S,3311,2026,525
S,2143,2026,575
S,288,2026,625
S,63,2026,675
S,27,2026,725
S,146,2026,775
S,62,2026,825
S,37,2026,875
S,149,2026,925
S,125,2026,975
S,7,2026,1025
S,47,2026,1075
S,21,2026,1125
S,316,2026,1175
S,298,2026,1225
S,0,2026,1275
S,1,2026,1325
S,0,2026,1375
S,1,2026,1425
S,30,2026,1475
S,8,2026,1525
S,0,2026,1575
S,0,2026,1625
S,0,2026,1675
S,0,2026,1725
S,0,2026,1775
S,0,2026,1825
S,0,2026,1875
S,0,2026,1925
S,1,2026,1975
S,8,2027,225
S,25,2027,275
S,124,2027,325
S,411,2027,375
S,654,2027,425
S,1552,2027,475
S,3571,2027,525
S,2074,2027,575
S,520,2027,625
S,56,2027,675
S,24,2027,725
S,165,2027,775
S,80,2027,825
S,30,2027,875
S,214,2027,925
S,180,2027,975
S,7,2027,1025
S,46,2027,1075
S,24,2027,1125
S,287,2027,1175
S,261,2027,1225
S,0,2027,1275
S,0,2027,1325
S,0,2027,1375
S,1,2027,1425
S,36,2027,1475
S,11,2027,1525
S,0,2027,1575
S,0,2027,1625
S,0,2027,1675
S,0,2027,1725
S,0,2027,1775
S,0,2027,1825
S,0,2027,1875
S,0,2027,1925
S,1,2027,1975
S,8,2028,225
S,24,2028,275
S,140,2028,325
S,350,2028,375
S,552,2028,425
S,1421,2028,475
S,3799,2028,525
S,2003,2028,575
S,717,2028,625
S,51,2028,675
S,30,2028,725
S,187,2028,775
S,105,2028,825
S,29,2028,875
S,288,2028,925
S,253,2028,975
S,7,2028,1025
S,43,2028,1075
S,20,2028,1125
S,269,2028,1175
S,219,2028,1225
S,0,2028,1275
S,0,2028,1325
S,0,2028,1375
S,1,2028,1425
S,45,2028,1475
S,21,2028,1525
S,0,2028,1575
S,0,2028,1625
S,0,2028,1675
S,0,2028,1725
S,0,2028,1775
S,0,2028,1825
S,0,2028,1875
S,0,2028,1925
S,1,2028,1975
S,7,2029,225
S,19,2029,275
S,151,2029,325
S,310,2029,375
S,437,2029,425
S,1320,2029,475
S,4081,2029,525
S,1914,2029,575
S,905,2029,625
S,42,2029,675
S,32,2029,725
S,209,2029,775
S,122,2029,825
S,26,2029,875
S,368,2029,925
S,313,2029,975
