Species,Population,Year
S,9440,2025
S,10137,2026
S,10362,2027
S,10583,2028
S,10865,2029
S,11082,2030
S,11283,2031
S,11566,2032
S,11792,2033
S,11347,2034
S,11298,2035
S,11343,2036
S,11241,2037
S,11277,2038
S,11322,2039
S,11276,2040
S,11239,2041
S,11264,2042
S,11290,2043
S,11294,2044
S,11310,2045
S,11325,2046
S,11311,2047
S,11321,2048
S,11341,2049
S,11320,2050
S,11361,2051
S,11299,2052
S,11341,2053
S,11318,2054
S,11311,2055
S,11269,2056
S,11310,2057
S,11296,2058
S,11251,2059
S,11304,2060
S,11299,2061
S,11264,2062
S,11280,2063
S,11310,2064
S,11271,2065
S,11283,2066
S,11337,2067
S,11281,2068
S,11321,2069
S,11313,2070
S,11309,2071
S,11306,2072
S,11352,2073
S,11298,2074
S,11307,2075
S,11302,2076
S,11270,2077
S,11318,2078
S,11271,2079
S,11339,2080
S,11282,2081
S,11327,2082
S,11288,2083
S,11297,2084
S,11309,2085
S,11281,2086
S,11371,2087
S,11285,2088
S,11283,2089
S,11257,2090
S,11306,2091
S,11357,2092
S,11315,2093
S,11297,2094
S,11284,2095
S,11294,2096
S,11283,2097
S,11363,2098
S,11272,2099
S,11286,2100
S,11291,2101
S,11318,2102
S,11273,2103
S,11293,2104
S,11328,2105
S,11285,2106
S,11331,2107
S,11265,2108
S,11290,2109
S,11307,2110
S,11341,2111
S,11320,2112
S,11305,2113
S,11300,2114
S,11304,2115
S,11319,2116
S,11300,2117
S,11279,2118
S,11255,2119
S,11254,2120
S,11328,2121
S,11315,2122
S,11290,2123
S,11272,2124
S,11302,2125
Su,0,2025
Su,0,2026
Su,0,2027
Su,0,2028
Su,0,2029
Su,0,2030
Su,0,2031
Su,0,2032
Su,0,2033
Su,0,2034
Su,0,2035
Su,0,2036
Su,0,2037
Su,0,2038
Su,0,2039
Su,0,2040
Su,0,2041
Su,0,2042
Su,0,2043
Su,0,2044
Su,0,2045
Su,0,2046
Su,0,2047
Su,0,2048
Su,0,2049
Su,0,2050
Su,0,2051
Su,0,2052
Su,0,2053
Su,0,2054
Su,0,2055
Su,0,2056
Su,0,2057
Su,0,2058
Su,0,2059
Su,0,2060
Su,0,2061
Su,0,2062
Su,0,2063
Su,0,2064
Su,0,2065
Su,0,2066
Su,0,2067
Su,0,2068
Su,0,2069
Su,0,2070
Su,0,2071
Su,0,2072
Su,0,2073
Su,0,2074
Su,0,2075
Su,0,2076
Su,0,2077
Su,0,2078
Su,0,2079
Su,0,2080
Su,0,2081
Su,0,2082
Su,0,2083
Su,0,2084
Su,0,2085
Su,0,2086
Su,0,2087
Su,0,2088
Su,0,2089
Su,0,2090
Su,0,2091
Su,0,2092
Su,0,2093
Su,0,2094
Su,0,2095
Su,0,2096
Su,0,2097
Su,0,2098
Su,0,2099
Su,0,2100
Su,0,2101
Su,0,2102
Su,0,2103
Su,0,2104
Su,0,2105
Su,0,2106
Su,0,2107
Su,0,2108
Su,0,2109
Su,0,2110
Su,0,2111
Su,0,2112
Su,0,2113
Su,0,2114
Su,0,2115
Su,0,2116
Su,0,2117
Su,0,2118
Su,0,2119
Su,0,2120
Su,0,2121
Su,0,2122
Su,0,2123
Su,0,2124
Su,0,2125
Sns,0,2025
Sns,0,2026
Sns,0,2027
Sns,0,2028
Sns,0,2029
Sns,0,2030
Sns,0,2031
Sns,0,2032
Sns,0,2033
Sns,0,2034
Sns,0,2035
Sns,0,2036
Sns,0,2037
Sns,0,2038
Sns,0,2039
Sns,0,2040
Sns,0,2041
Sns,0,2042
Sns,0,2043
Sns,0,2044
Sns,0,2045
Sns,0,2046
Sns,0,2047
Sns,0,2048
Sns,0,2049
Sns,0,2050
Sns,0,2051
Sns,0,2052
Sns,0,2053
Sns,0,2054
Sns,0,2055
Sns,0,2056
Sns,0,2057
Sns,0,2058
Sns,0,2059
Sns,0,2060
Sns,0,2061
Sns,0,2062
Sns,0,2063
Sns,0,2064
Sns,0,2065
Sns,0,2066
Sns,0,2067
Sns,0,2068
Sns,0,2069
Sns,0,2070
Sns,0,2071
Sns,0,2072
Sns,0,2073
Sns,0,2074
Sns,0,2075
Sns,0,2076
Sns,0,2077
Sns,0,2078
Sns,0,2079
Sns,0,2080
Sns,0,2081
Sns,0,2082
Sns,0,2083
Sns,0,2084
Sns,0,2085
Sns,0,2086
Sns,0,2087
Sns,0,2088
Sns,0,2089
Sns,0,2090
Sns,0,2091
Sns,0,2092
Sns,0,2093
Sns,0,2094
Sns,0,2095
Sns,0,2096
Sns,0,2097
Sns,0,2098
Sns,0,2099
Sns,0,2100
Sns,0,2101
Sns,0,2102
Sns,0,2103
