Species,Population,Year,Altitude
B,0.0,2025,215.0
B,1.0,2025,245.0
B,0.0,2025,275.0
B,2.0,2025,305.0
B,3.0,2025,335.0
B,5.0,2025,365.0
B,9.0,2025,395.0
B,10.0,2025,425.0
B,11.0,2025,455.0
B,27.0,2025,485.0
B,37.0,2025,515.0
B,17.0,2025,545.0
B,31.0,2025,575.0
B,60.0,2025,605.0
B,29.0,2025,635.0
B,17.0,2025,665.0
B,22.0,2025,695.0
B,20.0,2025,725.0
B,67.0,2025,755.0
B,37.0,2025,785.0
B,35.0,2025,815.0
B,42.0,2025,845.0
B,34.0,2025,875.0
B,14.0,2025,905.0
B,21.0,2025,935.0
B,126.0,2025,965.0
B,61.0,2025,995.0
B,11.0,2025,1025.0
B,12.0,2025,1055.0
B,21.0,2025,1085.0
B,9.0,2025,1115.0
B,6.0,2025,1145.0
B,13.0,2025,1175.0
B,8.0,2025,1205.0
B,4.0,2025,1235.0
B,1.0,2025,1265.0
B,5.0,2025,1295.0
B,7.0,2025,1325.0
B,9.0,2025,1355.0
B,9.0,2025,1385.0
B,0.052301168960661,2050,215.0
B,0.1170640833626029,2050,245.0
B,0.2490932057105198,2050,275.0
B,0.4789463444550498,2050,305.0
B,0.8596587665808032,2050,335.0
B,1.4855707529106896,2050,365.0
B,2.428801362216556,2050,395.0
B,4.000221500402146,2050,425.0
B,5.452480213584499,2050,455.0
B,7.393502870897956,2050,485.0
B,10.407507203161131,2050,515.0
B,14.862720095298153,2050,545.0
B,20.09491733905402,2050,575.0
B,20.163924645400268,2050,605.0
B,19.154181749273853,2050,635.0
B,22.02590337143014,2050,665.0
B,27.657112487202575,2050,695.0
B,40.50734839803792,2050,725.0
B,57.67155867387883,2050,755.0
B,37.86867334590344,2050,785.0
B,37.279431954942744,2050,815.0
B,38.654513536501895,2050,845.0
B,30.494706681469147,2050,875.0
B,36.99640077403449,2050,905.0
B,43.59627400572465,2050,935.0
B,115.75016374338448,2050,965.0
B,53.36988741961491,2050,995.0
B,10.867260179264818,2050,1025.0
B,12.522711951402709,2050,1055.0
