Species,Year,Population
B,2025,966.0540442502684
B,2026,989.9235212907317
B,2027,1007.5240001250966
B,2028,1017.1175086882838
B,2029,1023.4854037207332
B,2030,1030.3413660150272
B,2031,1033.7673888855797
B,2032,1034.4681668357857
B,2033,1034.9112294144704
B,2034,1034.462844004322
B,2035,1033.638979728055
B,2036,1035.1502727319717
B,2037,1035.3133022146785
B,2038,1037.9832390582044
B,2039,1044.3051586534766
B,2040,1047.9628082622792
B,2041,1051.8657675196057
B,2042,1054.5911635279574
B,2043,1059.2066022078288
B,2044,1066.5113427732974
B,2045,1070.9858401946058
B,2046,1072.5267455204112
B,2047,1072.413910905142
B,2048,1075.5013586412706
B,2049,1082.2636462042183
B,2050,1088.0678026668083
B,2051,1092.2741526391223
B,2052,1093.4674850095428
B,2053,1096.3066433514682
B,2054,1098.3366316846607
B,2055,1098.8919900432809
B,2056,1100.6671197099947
B,2057,1105.0298808682157
B,2058,1109.6947960350697
B,2059,1111.0050731422052
B,2060,1113.3519469493276
B,2061,1115.2060881831537
B,2062,1115.0160594161378
B,2063,1118.5091005884744
B,2064,1123.6319282631434
B,2065,1124.087875898777
B,2066,1127.9448138839055
B,2067,1129.9658807540939
B,2068,1132.5534217910767
B,2069,1139.4698473155463
B,2070,1139.0054407226467
B,2071,1139.6197203805398
B,2072,1147.6880734273514
B,2073,1151.207296663954
B,2074,1148.138862593141
B,2075,1150.6993972364542
B,2076,1153.4975636641307
B,2077,1158.5717691716422
B,2078,1160.1966846385067
B,2079,1157.244875591918
B,2080,1156.5496689796535
B,2081,1156.4221489580434
B,2082,1159.956599161705
B,2083,1162.1258409807256
B,2084,1165.182961334381
B,2085,1170.5511326015164
B,2086,1180.3511541693447
B,2087,1184.1863445311033
B,2088,1181.2968156084305
B,2089,1181.7614419411025
B,2090,1181.802862784854
B,2091,1183.9342157966053
B,2092,1187.171434704687
B,2093,1190.6671242194736
B,2094,1194.0023775254324
B,2095,1199.3151348788224
B,2096,1203.8775197550337
B,2097,1205.232794330075
B,2098,1207.8274243285643
B,2099,1209.7458735442183
B,2100,1207.7773114136305
B,2101,1210.8277262488912
B,2102,1216.6704686613803
B,2103,1218.1485074762065
B,2104,1222.3988652994879
B,2105,1226.8494780466353
B,2106,1231.2024620723628
B,2107,1233.4931285284574
B,2108,1236.3037910959404
B,2109,1240.489954118804
B,2110,1246.612651065038
B,2111,1247.566481144128
B,2112,1243.660666749387
B,2113,1248.4181670263722
B,2114,1252.248750674716
B,2115,1257.0304096324903
B,2116,1257.0824875888434
B,2117,1254.0181882562217
B,2118,1255.4022961024755
B,2119,1256.3033242238446
B,2120,1256.1509003420697
B,2121,1256.4099662690703
B,2122,1257.579858856509
B,2123,1259.233898252402
B,2125,1263.339875284653
N_0.00141372kg,2025,17747.055791172024
N_0.00141372kg,2026,17756.153371334276
N_0.00141372kg,2027,17754.895493411306
N_0.00141372kg,2028,17740.131609094577
N_0.00141372kg,2029,17712.322894705638
N_0.00141372kg,2030,17674.751079159232
N_0.00141372kg,2031,17631.438210804194
N_0.00141372kg,2032,17585.675649491757
N_0.00141372kg,2033,17539.57808639996
N_0.00141372kg,2034,17494.255963922617
N_0.00141372kg,2035,17450.16490657822
N_0.00141372kg,2036,17407.41185938889
N_0.00141372kg,2037,17365.953967222635
N_0.00141372kg,2038,17325.699870730674
N_0.00141372kg,2039,17286.556729150492
N_0.00141372kg,2040,17248.44534831816
N_0.00141372kg,2041,17211.30044447655
N_0.00141372kg,2042,17175.06943800659
N_0.00141372kg,2043,17139.707587741046
N_0.00141372kg,2044,17105.17746316974
N_0.00141372kg,2045,17071.443627114037
N_0.00141372kg,2046,17038.47395633598
N_0.00141372kg,2047,17006.237634103414
N_0.00141372kg,2048,16974.70718162352
N_0.00141372kg,2049,16943.860787514353
N_0.00141372kg,2050,16913.674832155488
N_0.00141372kg,2051,16884.128666707475
N_0.00141372kg,2052,16855.200465008726
N_0.00141372kg,2053,16826.872492489343
N_0.00141372kg,2054,16799.129263381652
N_0.00141372kg,2055,16771.955656232778
N_0.00141372kg,2056,16745.33784542659
N_0.00141372kg,2057,16719.26492865054
N_0.00141372kg,2058,16693.72490731999
N_0.00141372kg,2059,16668.70857270348
N_0.00141372kg,2060,16644.20753825671
N_0.00141372kg,2061,16620.215155299065
N_0.00141372kg,2062,16596.725736402666
N_0.00141372kg,2063,16573.731904736887
N_0.00141372kg,2064,16551.229326176952
N_0.00141372kg,2065,16529.214668385626
N_0.00141372kg,2066,16507.682702640708
N_0.00141372kg,2067,16486.63065157618
N_0.00141372kg,2068,16466.054593322126
N_0.00141372kg,2069,16445.953536098492
N_0.00141372kg,2070,16426.324700163317
N_0.00141372kg,2071,16407.165485089543
N_0.00141372kg,2072,16388.475291588034
N_0.00141372kg,2073,16370.253680944188
N_0.00141372kg,2074,16352.498073194674
N_0.00141372kg,2075,16335.206873041054
N_0.00141372kg,2076,16318.381519307139
N_0.00141372kg,2077,16302.021098318774
N_0.00141372kg,2078,16286.127957681523
N_0.00141372kg,2079,16270.702280829506
N_0.00141372kg,2080,16255.746617592193
N_0.00141372kg,2081,16241.260239216688
N_0.00141372kg,2082,16227.244878698044
N_0.00141372kg,2083,16213.704889532151
N_0.00141372kg,2084,16200.64150987143
N_0.00141372kg,2085,16188.055724089922
N_0.00141372kg,2086,16175.949545702397
N_0.00141372kg,2087,16164.326955265582
N_0.00141372kg,2088,16153.190276328822
N_0.00141372kg,2089,16142.542630665326
N_0.00141372kg,2090,16132.387404251738
N_0.00141372kg,2091,16122.728881767947
N_0.00141372kg,2092,16113.572458088951
N_0.00141372kg,2093,16104.921448851015
N_0.00141372kg,2094,16096.778685331605
N_0.00141372kg,2095,16089.147990497924
N_0.00141372kg,2096,16082.034008529665
N_0.00141372kg,2097,16075.44134984082
N_0.00141372kg,2098,16069.374821407906
N_0.00141372kg,2099,16063.841814700289
N_0.00141372kg,2100,16058.848320291407
N_0.00141372kg,2101,16054.39858726667
N_0.00141372kg,2102,16050.500474662025
N_0.00141372kg,2103,16047.158144900877
N_0.00141372kg,2104,16044.377632320247
N_0.00141372kg,2105,16042.16958001049
N_0.00141372kg,2106,16040.54115287284
N_0.00141372kg,2107,16039.499859777325
N_0.00141372kg,2108,16039.050782960598
N_0.00141372kg,2109,16039.200802039883
N_0.00141372kg,2110,16039.960535924873
N_0.00141372kg,2111,16041.337927041708
N_0.00141372kg,2112,16043.343884084032
N_0.00141372kg,2113,16045.987005704046
N_0.00141372kg,2114,16049.275744769251
N_0.00141372kg,2115,16053.220077731834
N_0.00141372kg,2116,16057.830393720837
N_0.00141372kg,2117,16063.118189636358
N_0.00141372kg,2118,16069.094215320076
N_0.00141372kg,2119,16075.77337992664
N_0.00141372kg,2120,16083.165029441101
N_0.00141372kg,2121,16091.278946432405
N_0.00141372kg,2122,16100.129770153395
N_0.00141372kg,2123,16109.730181306679
N_0.00141372kg,2125,16120.095174735428
N_0.567kg,2025,1606.2746694461232
N_0.567kg,2026,1610.6811738050749
N_0.567kg,2027,1613.5526311250424
N_0.567kg,2028,1614.6705536334798
N_0.567kg,2029,1614.3061100533027
N_0.567kg,2030,1612.9039235475507
N_0.567kg,2031,1610.8795593819116
N_0.567kg,2032,1608.5420792739976
N_0.567kg,2033,1606.0917091037384
N_0.567kg,2034,1603.646337318672
N_0.567kg,2035,1601.270068959694
N_0.567kg,2036,1598.995539666935
N_0.567kg,2037,1596.8387054350028
N_0.567kg,2038,1594.806073899627
N_0.567kg,2039,1592.8993560267463
N_0.567kg,2040,1591.1176694673761
N_0.567kg,2041,1589.4589557551817
N_0.567kg,2042,1587.9203217752029
N_0.567kg,2043,1586.4981416141097
N_0.567kg,2044,1585.189253299617
N_0.567kg,2045,1583.9900695234396
N_0.567kg,2046,1582.8971157936564
N_0.567kg,2047,1581.906541652678
N_0.567kg,2048,1581.015031487197
N_0.567kg,2049,1580.2205297038868
N_0.567kg,2050,1579.5203044790178
N_0.567kg,2051,1578.9122845658235
N_0.567kg,2052,1578.3934248657542
N_0.567kg,2053,1577.9617922745338
N_0.567kg,2054,1577.6159151382158
N_0.567kg,2055,1577.3540324680164
N_0.567kg,2056,1577.174959901632
N_0.567kg,2057,1577.0779956535137
N_0.567kg,2058,1577.0616297276054
N_0.567kg,2059,1577.1250318390269
N_0.567kg,2060,1577.267865460514
N_0.567kg,2061,1577.4901759595443
N_0.567kg,2062,1577.7918596780783
N_0.567kg,2063,1578.1720706222434
