S_148kg,S_750kg,S_1250kg,Su_260kg,Su_473kg,N_0p0014137kg,N_0p567kg,N_6kg,N_148kg,N_260kg,N_473kg,N_750kg,N_1250kg,Sns,B,TimeStep
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1
0,0,0,6,2,0,0,1,0,0,0,0,1,1,2,1
0,0,0,4,1,0,0,0,1,1,0,0,0,5,3,1
0,0,0,9,1,0,1,0,0,2,0,0,0,7,3,1
0,0,0,78,6,0,0,1,2,1,0,0,0,16,5,1
210,0,0,219,19,0,0,0,0,0,1,0,0,27,5,1
23,0,0,729,8,0,0,3,0,0,0,0,0,5,4,1
105,0,0,6,2,0,0,6,1,0,0,0,0,6,3,1
0,0,0,13,6,0,0,1,0,0,0,0,0,1,2,1
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1
0,0,0,1,1,0,0,8,5,0,0,0,0,0,0,1
0,0,0,0,3,0,0,5,5,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1
0,0,0,5,0,0,0,6,3,0,0,0,0,0,0,1
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,64,0,0,0,0,1,0,0,0,0,2,0,2
0,0,0,17,0,0,0,1,0,0,0,0,0,2,2,2
0,0,0,24,5,0,1,0,1,0,0,0,0,2,1,2
0,0,0,11,3,0,0,1,1,0,0,0,0,6,3,2
0,0,0,8,2,0,0,1,0,1,0,0,0,7,8,2
0,0,0,66,10,0,0,0,0,6,0,0,0,19,8,2
205,0,0,41,11,0,0,1,4,0,0,0,0,35,2,2
21,1,0,576,24,0,0,3,1,0,0,0,0,7,3,2
98,0,0,195,0,0,1,2,5,0,0,0,0,7,2,2
0,0,0,28,6,0,0,4,3,0,0,0,0,0,2,2
0,0,0,5,2,0,0,2,1,0,0,0,0,0,0,2
0,0,0,15,0,0,0,5,2,0,0,0,0,0,5,2
0,0,0,5,2,0,0,7,3,0,0,0,0,0,1,2
0,0,0,1,2,0,2,24,10,0,0,0,0,0,1,2
0,0,0,1,1,0,1,48,32,0,0,0,0,0,1,2
0,0,0,2,8,0,3,65,42,0,0,0,0,0,4,2
0,0,0,0,3,0,1,29,15,0,0,0,0,0,0,2
0,0,0,0,2,0,0,35,14,0,0,0,0,0,0,2
0,0,0,1,0,1,1,66,26,0,0,0,0,0,1,2
0,0,0,1,2,0,0,15,8,0,0,0,0,0,0,2
0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,2
0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2
0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2
0,0,0,19,0,0,0,3,2,0,0,0,0,0,0,2
0,0,0,10,0,0,0,3,1,0,0,0,0,0,0,2
0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
