,alt_bin,Sns,Su_260kg,B,N_0.567kg,N_148kg,N_6kg,N_1250kg,Su_473kg,N_260kg,S_148kg,epoch_start_date,N_473kg,S_750kg,S_1250kg
0,0,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
2,2,1,1,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
3,3,1,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
4,4,1,3,0,0,1,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
5,5,2,1,0,1,1,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
6,6,1,6,2,0,0,1,1,2,0,0,2022-01-03 00:00:00,0,0,0
7,7,5,4,3,0,1,0,0,1,1,0,2022-01-03 00:00:00,0,0,0
8,8,7,9,3,1,0,0,0,1,2,0,2022-01-03 00:00:00,0,0,0
9,9,16,78,5,0,2,1,0,6,1,0,2022-01-03 00:00:00,0,0,0
10,10,27,219,5,0,0,0,0,19,0,210,2022-01-03 00:00:00,1,0,0
11,11,5,729,4,0,0,3,0,8,0,23,2022-01-03 00:00:00,0,0,0
12,12,6,6,3,0,1,6,0,2,0,105,2022-01-03 00:00:00,0,0,0
13,13,1,13,2,0,0,1,0,6,0,0,2022-01-03 00:00:00,0,0,0
14,14,0,3,0,0,0,0,0,3,0,0,2022-01-03 00:00:00,0,0,0
15,15,0,0,1,0,0,1,0,0,0,0,2022-01-03 00:00:00,0,0,0
16,16,0,6,1,0,0,0,0,2,0,0,2022-01-03 00:00:00,0,0,0
17,17,0,1,0,0,3,2,0,0,0,0,2022-01-03 00:00:00,0,0,0
18,18,0,1,0,0,5,8,0,1,0,0,2022-01-03 00:00:00,0,0,0
19,19,0,0,0,0,5,5,0,3,0,0,2022-01-03 00:00:00,0,0,0
20,20,0,1,1,0,1,1,0,1,0,0,2022-01-03 00:00:00,0,0,0
21,21,0,0,0,1,1,4,0,0,0,0,2022-01-03 00:00:00,0,0,0
22,22,0,5,0,0,3,6,0,0,0,0,2022-01-03 00:00:00,0,0,0
23,23,0,0,0,0,0,1,0,2,0,0,2022-01-03 00:00:00,0,0,0
24,24,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
25,25,0,0,0,0,0,1,0,0,0,0,2022-01-03 00:00:00,0,0,0
26,26,0,0,1,0,0,1,0,0,0,0,2022-01-03 00:00:00,0,0,0
27,27,0,0,1,0,0,1,0,0,0,0,2022-01-03 00:00:00,0,0,0
28,28,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
29,29,0,1,0,0,0,2,0,5,0,0,2022-01-03 00:00:00,0,0,0
30,30,0,0,0,0,0,0,0,1,0,0,2022-01-03 00:00:00,0,0,0
31,31,0,1,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
33,33,0,11,0,0,0,0,0,0,0,79,2022-01-03 00:00:00,0,0,0
34,34,0,22,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,2022-01-03 00:00:00,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,2022-07-04 15:00:00,0,0,0
41,1,0,0,0,1,0,0,0,0,0,0,2022-07-04 15:00:00,0,0,0
42,2,2,3,1,0,0,0,0,0,0,0,2022-07-04 15:00:00,0,0,0
43,3,0,0,0,0,0,0,1,0,0,0,2022-07-04 15:00:00,0,0,0
44,4,2,64,0,0,1,0,0,0,0,0,2022-07-04 15:00:00,0,0,0
45,5,2,17,2,0,0,1,0,0,0,0,2022-07-04 15:00:00,0,0,0
46,6,2,24,1,1,1,0,0,5,0,0,2022-07-04 15:00:00,0,0,0
47,7,6,11,3,0,1,1,0,3,0,0,2022-07-04 15:00:00,0,0,0
48,8,7,8,8,0,0,1,0,2,1,0,2022-07-04 15:00:00,0,0,0
49,9,19,66,8,0,0,0,0,10,6,0,2022-07-04 15:00:00,0,0,0
50,10,35,41,2,0,4,1,0,11,0,205,2022-07-04 15:00:00,0,0,0
51,11,7,576,3,0,1,3,0,24,0,21,2022-07-04 15:00:00,0,1,0
52,12,7,195,2,1,5,2,0,0,0,98,2022-07-04 15:00:00,0,0,0
53,13,0,28,2,0,3,4,0,6,0,0,2022-07-04 15:00:00,0,0,0
54,14,0,5,0,0,1,2,0,2,0,0,2022-07-04 15:00:00,0,0,0
55,15,0,15,5,0,2,5,0,0,0,0,2022-07-04 15:00:00,0,0,0
56,16,0,5,1,0,3,7,0,2,0,0,2022-07-04 15:00:00,0,0,0
57,17,0,1,1,2,10,24,0,2,0,0,2022-07-04 15:00:00,0,0,0
58,18,0,1,1,1,32,48,0,1,0,0,2022-07-04 15:00:00,0,0,0
59,19,0,2,4,3,42,65,0,8,0,0,2022-07-04 15:00:00,0,0,0
60,20,0,0,0,1,15,29,0,3,0,0,2022-07-04 15:00:00,0,0,0
61,21,0,0,0,0,14,35,0,2,0,0,2022-07-04 15:00:00,0,0,0
62,22,0,1,1,1,26,66,0,0,0,0,2022-07-04 15:00:00,0,0,0
63,23,0,1,0,0,8,15,0,2,0,0,2022-07-04 15:00:00,0,0,0
64,24,0,0,0,0,4,9,0,0,0,0,2022-07-04 15:00:00,0,0,0
65,25,0,0,0,0,2,8,0,0,0,0,2022-07-04 15:00:00,0,0,0
66,26,0,0,1,0,1,4,0,0,0,0,2022-07-04 15:00:00,0,0,0
67,27,0,19,0,0,2,3,0,0,0,0,2022-07-04 15:00:00,0,0,0
68,28,0,10,0,0,1,3,0,0,0,0,2022-07-04 15:00:00,0,0,0
69,29,0,1,0,0,2,1,0,1,0,0,2022-07-04 15:00:00,0,0,0
