S_148kg,S_750kg,S_1250kg,Su_260kg,Su_473kg,N_0p0014137kg,N_0p567kg,N_6kg,N_148kg,N_260kg,N_473kg,N_750kg,N_1250kg,Sns,B
0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
0,0,0,2,0,0,0,1,1,0,0,0,0,1,0
0,0,0,11,0,0,0,4,2,0,0,0,0,1,3
0,0,0,14,1,0,1,9,2,0,0,0,1,1,1
0,0,0,30,0,0,3,8,5,1,0,0,0,16,2
0,0,0,43,0,0,5,28,10,0,0,0,0,9,2
0,0,0,44,2,0,5,30,15,0,0,0,1,11,7
0,0,0,117,3,0,3,37,25,1,0,0,0,7,10
0,0,0,161,4,0,2,62,30,0,0,0,0,17,17
0,0,0,212,27,1,1,51,30,0,0,0,0,34,12
0,0,0,265,44,0,6,64,28,0,3,0,0,39,30
0,0,0,1705,12,0,3,76,37,0,0,0,0,24,26
0,0,0,186,12,0,3,114,57,0,0,1,0,60,23
0,0,0,31,36,0,4,105,65,0,0,0,0,63,54
0,0,0,20,29,0,14,126,70,0,1,0,0,93,31
0,0,0,6,4,0,8,176,79,1,0,0,0,53,16
0,0,0,21,14,2,17,235,119,0,0,0,0,74,19
0,0,0,2,3,0,12,304,139,0,0,0,0,41,18
0,0,0,3,9,1,14,362,181,1,0,0,0,66,57
0,0,0,6,75,3,23,437,237,0,0,0,0,154,38
0,0,0,1,10,0,27,444,219,0,0,0,0,61,31
0,0,0,0,0,1,19,473,231,0,0,0,0,70,37
0,0,0,11,0,1,11,375,194,2,0,0,0,17,32
0,0,0,7,3,1,8,289,120,0,0,0,0,44,16
0,0,0,16,2,0,10,210,95,0,0,0,0,39,19
0,0,0,4,3,1,4,209,104,1,0,0,0,63,125
0,0,0,0,0,1,14,177,85,0,0,0,0,137,60
0,0,0,1,0,0,4,130,68,0,0,0,0,14,8
0,0,0,2,1,0,1,126,55,0,0,0,0,21,13
0,0,0,5,14,0,3,96,49,0,0,0,0,29,16
0,0,0,0,0,0,6,78,42,1,0,0,0,11,9
0,0,0,8,0,0,3,77,35,0,0,0,0,6,6
0,0,0,44,0,0,1,56,31,0,0,0,0,6,10
0,0,0,286,1,0,1,39,15,0,0,0,0,16,11
0,0,0,28,0,0,0,40,26,0,0,0,0,6,4
0,0,0,0,0,0,6,90,51,0,0,0,0,2,0
0,0,0,0,0,0,1,66,29,0,0,0,0,3,3
0,0,0,0,2,0,0,39,13,0,0,0,1,12,8
0,0,0,0,0,0,0,40,23,0,0,0,0,3,9
0,0,0,0,0,0,2,37,22,0,0,0,0,28,9
