Species,Population,Year
S,9440,2025
S,4195,2026
S,7460,2027
S,8441,2028
S,9391,2029
S,10311,2030
S,10982,2031
S,11460,2032
S,11993,2033
S,8343,2034
S,5899,2035
S,9456,2036
S,12149,2037
S,12532,2038
S,12803,2039
S,13252,2040
S,13391,2041
S,13325,2042
S,13035,2043
S,9040,2044
S,6223,2045
S,9456,2046
S,12154,2047
S,12532,2048
S,12802,2049
S,13255,2050
S,13392,2051
S,13329,2052
S,13035,2053
S,9035,2054
S,6220,2055
S,9456,2056
S,12157,2057
S,12532,2058
S,12802,2059
S,13253,2060
S,13392,2061
S,13335,2062
S,13036,2063
S,9027,2064
S,6219,2065
S,9470,2066
S,12157,2067
S,12520,2068
S,12804,2069
S,13253,2070
S,13390,2071
S,13336,2072
S,13037,2073
S,9038,2074
S,6224,2075
S,9460,2076
S,12154,2077
S,12520,2078
S,12803,2079
S,13252,2080
S,13390,2081
S,13337,2082
S,13037,2083
S,9038,2084
S,6224,2085
S,9460,2086
S,12154,2087
S,12524,2088
S,12803,2089
S,13248,2090
S,13389,2091
S,13336,2092
S,13034,2093
S,9038,2094
S,6223,2095
S,9455,2096
S,12147,2097
S,12524,2098
S,12803,2099
S,13248,2100
S,13391,2101
S,13337,2102
S,13031,2103
S,9040,2104
S,6230,2105
S,9456,2106
S,12147,2107
S,12524,2108
S,12803,2109
S,13248,2110
S,13396,2111
S,13337,2112
S,13028,2113
S,9040,2114
S,6227,2115
S,9455,2116
S,12146,2117
S,12526,2118
S,12802,2119
S,13247,2120
S,13395,2121
S,13333,2122
S,13032,2123
S,9041,2124
S,6228,2125
D,1936,2025
D,1929,2026
D,1928,2027
D,1925,2028
D,1922,2029
D,1921,2030
D,1920,2031
D,1916,2032
D,1912,2033
D,2360,2034
D,2681,2035
D,2758,2036
D,2812,2037
D,2871,2038
D,2919,2039
D,2939,2040
D,2973,2041
D,3013,2042
D,2968,2043
D,3189,2044
D,3385,2045
D,3414,2046
D,3358,2047
D,3376,2048
D,3392,2049
D,3392,2050
D,3405,2051
D,3408,2052
D,3343,2053
D,3587,2054
D,3742,2055
D,3721,2056
D,3670,2057
D,3670,2058
D,3695,2059
D,3690,2060
D,3702,2061
D,3709,2062
D,3656,2063
D,3897,2064
D,4040,2065
D,4042,2066
D,3960,2067
D,3959,2068
D,3992,2069
D,3982,2070
D,3993,2071
D,4010,2072
D,3946,2073
D,4203,2074
D,4344,2075
D,4321,2076
D,4270,2077
D,4279,2078
D,4296,2079
D,4293,2080
D,4302,2081
D,4309,2082
D,4220,2083
D,4464,2084
D,4615,2085
D,4640,2086
D,4573,2087
D,4580,2088
D,4569,2089
D,4547,2090
D,4555,2091
D,4576,2092
D,4508,2093
D,4736,2094
D,4883,2095
D,4855,2096
D,4775,2097
D,4781,2098
D,4798,2099
D,4778,2100
D,4787,2101
D,4804,2102
D,4757,2103
D,4981,2104
D,5146,2105
D,5122,2106
D,5071,2107
D,5058,2108
D,5051,2109
D,5014,2110
D,5027,2111
D,5041,2112
D,4972,2113
D,5216,2114
D,5392,2115
D,5394,2116
D,5301,2117
D,5302,2118
D,5267,2119
D,5234,2120
D,5245,2121
D,5238,2122
D,5155,2123
D,5381,2124
D,5540,2125
B,1448,2025
B,1478,2026
B,1502,2027
B,1516,2028
B,1522,2029
B,1543,2030
B,1554,2031
B,1571,2032
B,1592,2033
B,1612,2034
B,1623,2035
B,1639,2036
B,1653,2037
B,1655,2038
B,1672,2039
B,1689,2040
B,1690,2041
B,1703,2042
B,1727,2043
B,1747,2044
B,1757,2045
B,1779,2046
B,1788,2047
B,1792,2048
B,1800,2049
B,1813,2050
B,1808,2051
B,1819,2052
B,1839,2053
B,1859,2054
B,1871,2055
B,1899,2056
B,1919,2057
B,1922,2058
B,1926,2059
B,1939,2060
B,1939,2061
B,1948,2062
B,1959,2063
B,1977,2064
B,1983,2065
B,1993,2066
B,2004,2067
B,2006,2068
B,2014,2069
B,2029,2070
B,2020,2071
B,2033,2072
B,2052,2073
B,2068,2074
B,2080,2075
B,2091,2076
B,2105,2077
B,2107,2078
B,2110,2079
B,2121,2080
B,2123,2081
B,2131,2082
B,2154,2083
B,2168,2084
B,2178,2085
B,2198,2086
B,2209,2087
B,2212,2088
B,2219,2089
B,2229,2090
B,2230,2091
B,2237,2092
B,2258,2093
B,2270,2094
B,2276,2095
B,2306,2096
B,2312,2097
B,2310,2098
B,2317,2099
B,2326,2100
B,2325,2101
B,2329,2102
B,2344,2103
B,2352,2104
B,2361,2105
B,2377,2106
B,2388,2107
B,2383,2108
B,2387,2109
B,2394,2110
B,2392,2111
B,2394,2112
B,2409,2113
B,2415,2114
B,2429,2115
B,2453,2116
B,2463,2117
B,2458,2118
B,2460,2119
B,2466,2120
B,2460,2121
B,2464,2122
B,2474,2123
B,2487,2124
B,2477,2125
N,811.8,2025
N,807.7,2026
N,804.5,2027
N,804.1,2028
N,926.9,2029
N,1006.2,2030
N,1083.4,2031
N,1505.6,2032
N,1526.3,2033
N,1649.2,2034
N,1661,2035
N,1759.6,2036
N,1815.5,2037
N,1802.8,2038
N,1814.8,2039
N,1833.3,2040
N,1850.1,2041
N,1858.3,2042
N,1879.9,2043
N,1989.1,2044
N,2031.9,2045
N,2088.2,2046
N,2012.8,2047
N,2098.7,2048
N,2089.1,2049
N,2081.2,2050
N,2361.7,2051
N,2390.1,2052
N,2520.8,2053
N,2566.2,2054
N,2654.6,2055
N,2616.1,2056
N,2544.9,2057
N,2856.1,2058
N,2900.5,2059
N,2965.3,2060
N,3051.8,2061
N,3084.8,2062
N,3113.7,2063
N,3201.5,2064
N,3194.1,2065
N,3382.3,2066
N,3367.2,2067
N,3334.8,2068
N,3383.6,2069
N,3401.1,2070
N,3398.6,2071
N,3400.9,2072
N,3564.2,2073
N,3697,2074
N,4174.8,2075
N,4290.3,2076
N,4256.5,2077
N,4276,2078
N,4382.2,2079
N,4368.4,2080
N,4473.6,2081
N,4466.2,2082
N,4482.6,2083
N,4731.1,2084
N,4719.4,2085
N,4804.7,2086
N,4857,2087
N,5013.9,2088
N,5006.6,2089
