Species,Population,Year,Altitude
S,10,2025,225
S,34,2025,275
S,101,2025,325
S,515,2025,375
S,847,2025,425
S,1801,2025,475
S,2728,2025,525
S,2211,2025,575
S,101,2025,625
S,67,2025,675
S,27,2025,725
S,109,2025,775
S,38,2025,825
S,38,2025,875
S,51,2025,925
S,27,2025,975
S,7,2025,1025
S,40,2025,1075
S,21,2025,1125
S,315,2025,1175
S,326,2025,1225
S,0,2025,1275
S,2,2025,1325
S,0,2025,1375
S,1,2025,1425
S,22,2025,1475
S,0,2025,1525
S,0,2025,1575
S,0,2025,1625
S,0,2025,1675
S,0,2025,1725
S,0,2025,1775
S,0,2025,1825
S,0,2025,1875
S,0,2025,1925
S,1,2025,1975
S,0,2026,225
S,0,2026,275
S,0,2026,325
S,0,2026,375
S,4,2026,425
S,13,2026,475
S,2741,2026,525
S,487,2026,575
S,453,2026,625
S,9,2026,675
S,11,2026,725
S,1,2026,775
S,0,2026,825
S,0,2026,875
S,95,2026,925
S,105,2026,975
S,33,2026,1025
S,40,2026,1075
S,22,2026,1125
S,162,2026,1175
S,1,2026,1225
S,5,2026,1275
S,7,2026,1325
S,0,2026,1375
S,0,2026,1425
S,6,2026,1475
S,0,2026,1525
S,0,2026,1575
S,0,2026,1625
S,0,2026,1675
S,0,2026,1725
S,0,2026,1775
S,0,2026,1825
S,0,2026,1875
S,0,2026,1925
S,0,2026,1975
S,0,2027,225
S,0,2027,275
S,273,2027,325
S,57,2027,375
S,9,2027,425
S,28,2027,475
S,4697,2027,525
S,959,2027,575
S,746,2027,625
S,17,2027,675
S,19,2027,725
S,3,2027,775
S,2,2027,825
S,0,2027,875
S,141,2027,925
S,160,2027,975
S,33,2027,1025
S,40,2027,1075
S,22,2027,1125
S,198,2027,1175
S,37,2027,1225
S,5,2027,1275
S,8,2027,1325
S,0,2027,1375
S,0,2027,1425
S,6,2027,1475
S,0,2027,1525
S,0,2027,1575
S,0,2027,1625
S,0,2027,1675
S,0,2027,1725
S,0,2027,1775
S,0,2027,1825
S,0,2027,1875
S,0,2027,1925
S,0,2027,1975
S,0,2028,225
S,0,2028,275
S,273,2028,325
S,57,2028,375
S,11,2028,425
S,39,2028,475
S,4834,2028,525
S,1472,2028,575
S,880,2028,625
S,17,2028,675
S,22,2028,725
S,43,2028,775
S,6,2028,825
S,0,2028,875
S,189,2028,925
S,213,2028,975
S,33,2028,1025
S,40,2028,1075
S,22,2028,1125
S,216,2028,1175
S,55,2028,1225
S,5,2028,1275
S,8,2028,1325
S,0,2028,1375
S,0,2028,1425
S,6,2028,1475
S,0,2028,1525
S,0,2028,1575
S,0,2028,1625
S,0,2028,1675
S,0,2028,1725
S,0,2028,1775
S,0,2028,1825
S,0,2028,1875
S,0,2028,1925
S,0,2028,1975
S,0,2029,225
S,0,2029,275
S,273,2029,325
S,59,2029,375
S,18,2029,425
S,81,2029,475
S,4866,2029,525
S,1744,2029,575
S,1201,2029,625
S,22,2029,675
S,24,2029,725
S,98,2029,775
S,33,2029,825
S,0,2029,875
S,275,2029,925
S,304,2029,975
S,33,2029,1025
