Species,Population,Year,Altitude
S,9440,2025,225
S,9440,2025,275
S,9440,2025,325
S,9440,2025,375
S,9440,2025,425
S,9440,2025,475
S,9440,2025,525
S,9440,2025,575
S,9440,2025,625
S,9440,2025,675
S,9440,2025,725
S,9440,2025,775
S,9440,2025,825
S,9440,2025,875
S,9440,2025,925
S,9440,2025,975
S,9440,2025,1025
S,9440,2025,1075
S,9440,2025,1125
S,9440,2025,1175
S,9440,2025,1225
S,9440,2025,1275
S,9440,2025,1325
S,9440,2025,1375
S,9440,2025,1425
S,9440,2025,1475
S,9440,2025,1525
S,9440,2025,1575
S,9440,2025,1625
S,9440,2025,1675
S,9440,2025,1725
S,9440,2025,1775
S,9440,2025,1825
S,9440,2025,1875
S,9440,2025,1925
S,9440,2025,1975
D,1936,2025,225
D,1936,2025,275
D,1936,2025,325
D,1936,2025,375
D,1936,2025,425
D,1936,2025,475
D,1936,2025,525
D,1936,2025,575
D,1936,2025,625
D,1936,2025,675
D,1936,2025,725
D,1936,2025,775
D,1936,2025,825
D,1936,2025,875
D,1936,2025,925
D,1936,2025,975
D,1936,2025,1025
D,1936,2025,1075
D,1936,2025,1125
D,1936,2025,1175
D,1936,2025,1225
D,1936,2025,1275
D,1936,2025,1325
D,1936,2025,1375
D,1936,2025,1425
D,1936,2025,1475
D,1936,2025,1525
D,1936,2025,1575
D,1936,2025,1625
D,1936,2025,1675
D,1936,2025,1725
D,1936,2025,1775
D,1936,2025,1825
D,1936,2025,1875
D,1936,2025,1925
D,1936,2025,1975
B,1448,2025,225
B,1448,2025,275
B,1448,2025,325
B,1448,2025,375
B,1448,2025,425
B,1448,2025,475
B,1448,2025,525
B,1448,2025,575
B,1448,2025,625
B,1448,2025,675
B,1448,2025,725
B,1448,2025,775
B,1448,2025,825
B,1448,2025,875
B,1448,2025,925
B,1448,2025,975
B,1448,2025,1025
B,1448,2025,1075
B,1448,2025,1125
B,1448,2025,1175
B,1448,2025,1225
B,1448,2025,1275
B,1448,2025,1325
B,1448,2025,1375
B,1448,2025,1425
B,1448,2025,1475
B,1448,2025,1525
B,1448,2025,1575
B,1448,2025,1625
B,1448,2025,1675
B,1448,2025,1725
B,1448,2025,1775
B,1448,2025,1825
B,1448,2025,1875
B,1448,2025,1925
B,1448,2025,1975
N,0.1,2025,225
N,4.4,2025,275
N,12.2,2025,325
N,5.7,2025,375
N,16.2,2025,425
N,9.1,2025,475
N,18.9,2025,525
N,19.3,2025,575
N,31.4,2025,625
N,53.3,2025,675
N,79.8,2025,725
N,92.4,2025,775
N,106.6,2025,825
N,90.3,2025,875
N,45.3,2025,925
N,35.5,2025,975
N,27.1,2025,1025
N,18,2025,1075
N,16.3,2025,1125
N,10.7,2025,1175
N,9.9,2025,1225
N,19.7,2025,1275
N,7.7,2025,1325
N,9,2025,1375
N,9.7,2025,1425
N,14.5,2025,1475
N,16.4,2025,1525
N,12.2,2025,1575
N,8.2,2025,1625
N,3.5,2025,1675
N,1.7,2025,1725
N,1.8,2025,1775
N,1.9,2025,1825
N,0.7,2025,1875
N,1.2,2025,1925
N,1.1,2025,1975
S,13255,2050,225
S,13255,2050,275
S,13255,2050,325
S,13255,2050,375
S,13255,2050,425
S,13255,2050,475
S,13255,2050,525
S,13255,2050,575
S,13255,2050,625
S,13255,2050,675
S,13255,2050,725
S,13255,2050,775
S,13255,2050,825
S,13255,2050,875
S,13255,2050,925
S,13255,2050,975
S,13255,2050,1025
S,13255,2050,1075
S,13255,2050,1125
S,13255,2050,1175
S,13255,2050,1225
S,13255,2050,1275
S,13255,2050,1325
S,13255,2050,1375
S,13255,2050,1425
S,13255,2050,1475
S,13255,2050,1525
S,13255,2050,1575
S,13255,2050,1625
S,13255,2050,1675
S,13255,2050,1725
S,13255,2050,1775
S,13255,2050,1825
S,13255,2050,1875
S,13255,2050,1925
S,13255,2050,1975
D,3392,2050,225
D,3392,2050,275
D,3392,2050,325
D,3392,2050,375
D,3392,2050,425
D,3392,2050,475
D,3392,2050,525
D,3392,2050,575
D,3392,2050,625
D,3392,2050,675
D,3392,2050,725
D,3392,2050,775
D,3392,2050,825
D,3392,2050,875
D,3392,2050,925
D,3392,2050,975
D,3392,2050,1025
D,3392,2050,1075
D,3392,2050,1125
D,3392,2050,1175
D,3392,2050,1225
D,3392,2050,1275
D,3392,2050,1325
D,3392,2050,1375
D,3392,2050,1425
D,3392,2050,1475
D,3392,2050,1525
D,3392,2050,1575
D,3392,2050,1625
D,3392,2050,1675
D,3392,2050,1725
D,3392,2050,1775
D,3392,2050,1825
D,3392,2050,1875
D,3392,2050,1925
D,3392,2050,1975
B,1813,2050,225
B,1813,2050,275
B,1813,2050,325
B,1813,2050,375
B,1813,2050,425
B,1813,2050,475
B,1813,2050,525
B,1813,2050,575
B,1813,2050,625
B,1813,2050,675
B,1813,2050,725
B,1813,2050,775
B,1813,2050,825
B,1813,2050,875
B,1813,2050,925
B,1813,2050,975
B,1813,2050,1025
B,1813,2050,1075
B,1813,2050,1125
B,1813,2050,1175
B,1813,2050,1225
B,1813,2050,1275
B,1813,2050,1325
B,1813,2050,1375
B,1813,2050,1425
B,1813,2050,1475
B,1813,2050,1525
B,1813,2050,1575
B,1813,2050,1625
B,1813,2050,1675
B,1813,2050,1725
B,1813,2050,1775
B,1813,2050,1825
B,1813,2050,1875
B,1813,2050,1925
B,1813,2050,1975
N,0.7,2050,225
N,3,2050,275
N,7.8,2050,325
N,11.2,2050,375
N,26.6,2050,425
N,38.4,2050,475
N,53.6,2050,525
N,73.6,2050,575
N,78,2050,625
N,123.7,2050,675
N,199.6,2050,725
N,237.8,2050,775
N,230.4,2050,825
N,213.6,2050,875
N,166,2050,925
N,148.5,2050,975
N,97.2,2050,1025
N,64.5,2050,1075
N,47.4,2050,1125
N,34.8,2050,1175
N,31.1,2050,1225
N,33.5,2050,1275
N,18.4,2050,1325
N,17.1,2050,1375
N,18,2050,1425
N,22.2,2050,1475
N,23.2,2050,1525
N,17.9,2050,1575
N,11.8,2050,1625
N,7.7,2050,1675
N,4.8,2050,1725
N,4.9,2050,1775
N,5.3,2050,1825
N,2.9,2050,1875
N,3,2050,1925
N,3,2050,1975
S,6224,2075,225
S,6224,2075,275
S,6224,2075,325
S,6224,2075,375
S,6224,2075,425
S,6224,2075,475
S,6224,2075,525
S,6224,2075,575
S,6224,2075,625
S,6224,2075,675
S,6224,2075,725
S,6224,2075,775
S,6224,2075,825
S,6224,2075,875
S,6224,2075,925
S,6224,2075,975
S,6224,2075,1025
S,6224,2075,1075
S,6224,2075,1125
S,6224,2075,1175
S,6224,2075,1225
S,6224,2075,1275
S,6224,2075,1325
S,6224,2075,1375
S,6224,2075,1425
S,6224,2075,1475
S,6224,2075,1525
S,6224,2075,1575
S,6224,2075,1625
S,6224,2075,1675
S,6224,2075,1725
S,6224,2075,1775
S,6224,2075,1825
S,6224,2075,1875
S,6224,2075,1925
S,6224,2075,1975
D,4344,2075,225
D,4344,2075,275
D,4344,2075,325
D,4344,2075,375
D,4344,2075,425
D,4344,2075,475
D,4344,2075,525
D,4344,2075,575
D,4344,2075,625
D,4344,2075,675
D,4344,2075,725
D,4344,2075,775
D,4344,2075,825
D,4344,2075,875
D,4344,2075,925
D,4344,2075,975
D,4344,2075,1025
D,4344,2075,1075
D,4344,2075,1125
D,4344,2075,1175
D,4344,2075,1225
D,4344,2075,1275
D,4344,2075,1325
D,4344,2075,1375
D,4344,2075,1425
D,4344,2075,1475
D,4344,2075,1525
D,4344,2075,1575
D,4344,2075,1625
D,4344,2075,1675
D,4344,2075,1725
D,4344,2075,1775
D,4344,2075,1825
D,4344,2075,1875
D,4344,2075,1925
D,4344,2075,1975
B,2080,2075,225
B,2080,2075,275
B,2080,2075,325
B,2080,2075,375
B,2080,2075,425
B,2080,2075,475
B,2080,2075,525
B,2080,2075,575
B,2080,2075,625
B,2080,2075,675
B,2080,2075,725
B,2080,2075,775
B,2080,2075,825
B,2080,2075,875
B,2080,2075,925
B,2080,2075,975
B,2080,2075,1025
B,2080,2075,1075
B,2080,2075,1125
B,2080,2075,1175
B,2080,2075,1225
